word,english,type,example
klein,small,adjective,De hond is klein.
groot,big,adjective,Het huis is groot.
mooi,beautiful,adjective,De bloemen zijn mooi.
lelijk,ugly,adjective,Het gebouw is lelijk.
jong,young,adjective,De jongen is jong.
oud,old,adjective,De man is oud.
lang,long/tall,adjective,De man is lang.
kort,short,adjective,Het boek is kort.
goed,good,adjective,Het eten is goed.
slecht,bad,adjective,De film was slecht.
snel,fast,adjective,De auto is snel.
traag,slow,adjective,De slak is traag.
duur,expensive,adjective,De ring is duur.
goedkoop,cheap,adjective,De schoenen zijn goedkoop.
zacht,soft,adjective,De deken is zacht.
hard,hard,adjective,De tafel is hard.
warm,warm,adjective,De thee is warm.
koud,cold,adjective,De ijs is koud.
nieuw,new,adjective,Dit is een nieuw boek.
oud,old,adjective,Dit is een oud boek.
lekker,tasty,adjective,De taart is lekker.
vies,dirty/nasty,adjective,De kamer is vies.
zwaar,heavy,adjective,De tas is zwaar.
licht,light,adjective,De veer is licht.
hoog,high,adjective,De berg is hoog.
laag,low,adjective,De brug is laag.
dik,fat,adjective,De man is dik.
dun,thin,adjective,De vrouw is dun.
leeg,empty,adjective,De fles is leeg.
vol,full,adjective,De bus is vol.
