word, english, example, type 
welkom, welcome, welkom in nederland
goedemorgen, good morning, goedemorgen allemaal
allemaal, all, goedemorgen allemaal
de cursus, course, welkom bij de cursus nederlands
de, the, de cursus nederlands
nederlands, dutch, welkom bij de cursus nederlands
ik, i, ik ben Asif Anwar
ben(zijn), am, ik ben Asif Anwar
en, and, jullie en ik zijn studenten
jullie, you, jullie en ik zijn studenten
de docent, teacher, de docent is meneer Anwar
hebben, have, jullie hebben een boek
twee, two, ik heb twee boeken
docenten, teachers, de docenten zijn meneer Anwar en meneer Klaassen
andere, other, de andere docent is meneer Klaassen
is, is, de andere docent is meneer Klaassen
hij, he, hij is meneer Klaassen
geeft, gives, hij geeft les
geeft les, teaches, hij geeft les
les, lesson, hij geeft les
dagen, days, de cursus is drie dagen
drie, three, de cursus is drie dagen
we, we, we zijn studenten
beginning, beginning, het begin van de cursus
met, with, we beginnen met de les
kennismaken, get to know, we beginnen met kennismaken



