word, english, example, translate
het gezin, family, dat is het gezin, that is the family
de ouders, parents, ze zijn de ouders van Noor, they are the parents of Noor
de vader, father, de vader van Noor, the father of Noor
de moeder, mother, de moeder van Noor, the mother of Noor
de broer, brother, de broer van Noor, the brother of Noor
de zus, sister, de zus van Noor, the sister of Noor
de zoon, son, de zoon van Noor, the son of Noor
de dochter, daughter, de dochter van Noor, the daughter of Noor
de opa, grandfather, de opa van Noor, the grandfather of Noor
de oma, grandmother, de oma van Noor, the grandmother of Noor
de oom, uncle, de oom van Noor, the uncle of Noor
de tante, aunt, de tante van Noor, the aunt of Noor
de neef, cousin, de neef van Noor, the cousin of Noor
de nicht, cousin, de nicht van Noor, the cousin of Noor
de kleinzoon, grandson, de kleinzoon van Noor, the grandson of Noor
de kleindochter, granddaughter, de kleindochter van Noor, the granddaughter of Noor
de schoonvader, father-in-law, de schoonvader van Noor, the father-in-law of Noor
de schoonmoeder, mother-in-law, de schoonmoeder van Noor, the mother-in-law of Noor
de schoonzoon, son-in-law, de schoonzoon van Noor, the son-in-law of Noor
de schoondochter, daughter-in-law, de schoondochter van Noor, the daughter-in-law of Noor
de schoonbroer, brother-in-law, de schoonbroer van Noor, the brother-in-law of Noor
de schoonzus, sister-in-law, de schoonzus van Noor, the sister-in-law of Noor
de stiefvader, stepfather, de stiefvader van Noor, the stepfather of Noor
de stiefmoeder, stepmother, de stiefmoeder van Noor, the stepmother of Noor
de stiefzoon, stepson, de stiefzoon van Noor, the stepson of Noor
de stiefdochter, stepdaughter, de stiefdochter van Noor, the stepdaughter of Noor
de stiefbroer, stepbrother, de stiefbroer van Noor, the stepbrother of Noor
de stiefzus, stepsister, de stiefzus van Noor, the stepsister of Noor
de halfbroer, half-brother, de halfbroer van Noor, the half-brother of Noor
de halfzus, half-sister, de halfzus van Noor, the half-sister of Noor
de halfzus, half-sister, de halfzus van Noor, the half-sister of Noor
de halfbroer, half-brother, de halfbroer van Noor, the half-brother of Noor
de man, man, de man is de vader van Noor, the man is father of Noor
de familie, family, de familie van Noor, the family of Noor

