verb,english,ik,jij,u,hij/zij/het,wij/jullie/zij
maken,to make,maak,maakt,u maakt,maakt,maken
lopen,to walk,loop,loopt,u loopt,loopt,lopen
werken,to work,werk,werkt,u werkt,werkt,werken
koken,to cook,kook,kookt,u kookt,kookt,koken
lezen,to read,lees,leest,u leest,leest,lezen
leren,to learn,leer,leert,u leert,leert,leren
spelen,to play,speel,speelt,u speelt,speelt,spelen
vragen,to ask,vraag,vraagt,u vraagt,vraagt,vragen
wonen,to live,woon,woont,u woont,woont,wonen
slapen,to sleep,slaap,slaapt,u slaapt,slaapt,slapen
praten,to talk,praat,praat,u praat,praat,praten
luisteren,to listen,luister,luistert,u luistert,luistert,luisteren
roepen,to call,roep,roept,u roept,roept,roepen
kijken,to look,kijk,kijkt,u kijkt,kijkt,kijken
dansen,to dance,dans,danst,u danst,danst,dansen
zijn,to be,ben,bent,u bent,is,zijn
hebben,to have,heb,hebt,u hebt,heeft,hebben
kunnen,can,kan,kunt,u kunt,kan,kunnen
zullen,shall,zal,zult,u zult,zal,zullen
moeten,must,moet,moet,u moet,moet,moeten
gaan,to go,ga,gaat,u gaat,gaat,gaan
weten,to know,weet,weet,u weet,weet,weten
zeggen,to say,zeg,zegt,u zegt,zegt,zeggen
komen,to come,kom,komt,u komt,komt,komen
staan,to stand,sta,staat,u staat,staat,staan
zien,to see,zie,ziet,u ziet,ziet,zien
blijven,to stay,blijf,blijft,u blijft,blijft,blijven
vinden,to find,vind,vindt,u vindt,vindt,vinden
geven,to give,geef,geeft,u geeft,geeft,geven
brengen,to bring,breng,brengt,u brengt,brengt,brengen
